accuracy,recall,precision,f1,mcc,spd,aod,eod
0.66,0.655,0.656,0.655,0.311,0.078,0.039,0.029
0.668,0.658,0.666,0.659,0.324,0.137,0.102,0.076
0.683,0.674,0.68,0.675,0.355,0.155,0.116,0.088
0.662,0.645,0.666,0.643,0.311,0.174,0.154,0.088
0.652,0.65,0.649,0.649,0.299,0.134,0.101,0.076
0.648,0.62,0.678,0.602,0.293,0.005,0.023,0.041
0.669,0.661,0.666,0.662,0.327,0.176,0.138,0.122
0.673,0.666,0.67,0.667,0.335,0.169,0.128,0.119
0.674,0.657,0.679,0.656,0.335,0.031,0.008,0.021
0.676,0.67,0.673,0.671,0.343,0.214,0.179,0.146
0.665,0.662,0.662,0.662,0.323,0.192,0.149,0.151
0.656,0.653,0.653,0.653,0.305,0.126,0.08,0.096
0.671,0.664,0.667,0.665,0.332,0.149,0.107,0.101
0.663,0.653,0.66,0.654,0.313,0.107,0.064,0.071
0.662,0.659,0.659,0.659,0.318,0.171,0.124,0.143
0.67,0.664,0.667,0.665,0.331,0.174,0.13,0.132
0.67,0.667,0.667,0.667,0.333,0.199,0.16,0.142
0.655,0.65,0.651,0.65,0.301,0.094,0.057,0.046
0.651,0.645,0.647,0.646,0.292,0.08,0.035,0.057
0.659,0.656,0.656,0.656,0.312,0.192,0.158,0.133
0.672,0.665,0.668,0.666,0.333,0.173,0.133,0.122
0.67,0.67,0.668,0.669,0.338,0.18,0.131,0.145
0.663,0.654,0.659,0.655,0.313,0.122,0.086,0.067
0.656,0.649,0.652,0.65,0.301,0.114,0.085,0.043
0.658,0.655,0.655,0.655,0.31,0.19,0.156,0.13
0.686,0.675,0.685,0.675,0.359,0.159,0.124,0.083
0.68,0.669,0.679,0.67,0.348,0.14,0.101,0.08
0.66,0.655,0.656,0.656,0.311,0.122,0.077,0.092
0.675,0.666,0.673,0.666,0.338,0.203,0.176,0.115
0.678,0.67,0.675,0.671,0.345,0.149,0.108,0.092
0.686,0.673,0.688,0.673,0.361,0.122,0.09,0.037
0.673,0.662,0.672,0.663,0.333,0.109,0.079,0.029
0.682,0.673,0.68,0.674,0.353,0.155,0.117,0.087
0.679,0.671,0.676,0.671,0.347,0.153,0.112,0.096
0.655,0.653,0.652,0.652,0.305,0.199,0.163,0.15
0.675,0.662,0.675,0.661,0.337,0.125,0.095,0.047
0.677,0.665,0.676,0.666,0.341,0.14,0.107,0.068
0.678,0.665,0.678,0.666,0.343,0.16,0.127,0.089
0.681,0.67,0.679,0.671,0.349,0.159,0.125,0.084
0.679,0.669,0.676,0.669,0.345,0.122,0.088,0.047
0.672,0.662,0.669,0.663,0.331,0.127,0.095,0.054
0.675,0.666,0.672,0.667,0.339,0.171,0.14,0.091
0.68,0.667,0.68,0.667,0.347,0.129,0.096,0.054
0.667,0.658,0.663,0.659,0.321,0.15,0.112,0.098
0.664,0.656,0.66,0.656,0.316,0.164,0.133,0.095
0.668,0.656,0.666,0.657,0.322,0.113,0.079,0.05
0.689,0.68,0.688,0.681,0.367,0.176,0.143,0.091
0.682,0.673,0.679,0.674,0.352,0.115,0.076,0.051
0.667,0.656,0.665,0.656,0.321,0.101,0.065,0.043
0.677,0.668,0.674,0.669,0.342,0.13,0.099,0.048
0.675,0.661,0.676,0.661,0.337,0.067,0.03,0.007
0.674,0.665,0.671,0.666,0.335,0.11,0.066,0.065
0.668,0.658,0.666,0.659,0.324,0.153,0.125,0.075
0.677,0.669,0.675,0.67,0.343,0.207,0.18,0.118
0.673,0.659,0.673,0.659,0.332,0.061,0.026,0.004
0.681,0.675,0.677,0.676,0.352,0.178,0.141,0.108
0.683,0.674,0.681,0.675,0.355,0.174,0.14,0.097
0.669,0.661,0.666,0.662,0.327,0.114,0.08,0.049
0.673,0.66,0.673,0.66,0.333,0.037,0.004,0.015
0.66,0.651,0.656,0.652,0.307,0.041,0.004,0.011
0.681,0.672,0.679,0.673,0.351,0.18,0.156,0.08
0.662,0.651,0.66,0.652,0.311,0.08,0.045,0.022
0.682,0.673,0.68,0.673,0.353,0.142,0.102,0.078
0.648,0.641,0.643,0.641,0.284,0.088,0.047,0.06
0.648,0.641,0.643,0.642,0.285,0.098,0.063,0.055
0.676,0.663,0.676,0.663,0.339,0.062,0.025,0.001
0.674,0.665,0.671,0.666,0.336,0.134,0.092,0.084
0.666,0.654,0.664,0.654,0.318,0.083,0.058,0.003
0.657,0.652,0.653,0.652,0.305,0.172,0.136,0.12
0.661,0.656,0.657,0.656,0.313,0.154,0.123,0.088
0.682,0.674,0.68,0.675,0.353,0.108,0.065,0.05
0.679,0.668,0.677,0.668,0.345,0.123,0.088,0.051
0.66,0.651,0.656,0.652,0.307,0.059,0.017,0.019
0.659,0.649,0.656,0.649,0.305,0.138,0.113,0.063
0.663,0.658,0.659,0.658,0.317,0.208,0.182,0.127
0.67,0.659,0.668,0.66,0.327,0.106,0.071,0.042
0.676,0.665,0.674,0.666,0.339,0.175,0.143,0.099
0.665,0.659,0.661,0.66,0.32,0.122,0.077,0.088
0.673,0.664,0.669,0.665,0.333,0.2,0.173,0.116
0.668,0.659,0.665,0.659,0.324,0.09,0.059,0.017
0.683,0.674,0.68,0.675,0.354,0.13,0.091,0.064
0.665,0.654,0.663,0.654,0.317,0.104,0.064,0.057
0.652,0.648,0.648,0.648,0.296,0.199,0.162,0.158
0.67,0.66,0.667,0.661,0.327,0.128,0.095,0.059
0.665,0.653,0.662,0.654,0.316,0.092,0.051,0.052
0.673,0.663,0.67,0.664,0.333,0.177,0.148,0.096
0.677,0.67,0.674,0.671,0.344,0.15,0.112,0.086
0.667,0.658,0.664,0.659,0.322,0.166,0.134,0.097
0.673,0.663,0.671,0.663,0.334,0.152,0.115,0.093
0.665,0.657,0.661,0.658,0.319,0.197,0.172,0.112
0.678,0.67,0.675,0.671,0.345,0.189,0.151,0.127
0.682,0.672,0.681,0.673,0.353,0.16,0.125,0.087
0.668,0.659,0.665,0.66,0.324,0.137,0.105,0.068
0.67,0.662,0.667,0.663,0.329,0.165,0.13,0.101
0.674,0.666,0.67,0.667,0.336,0.171,0.129,0.122
0.67,0.661,0.667,0.662,0.329,0.203,0.188,0.088
