accuracy,recall,precision,f1,mcc,spd,aod,eod
0.85,0.779,0.806,0.79,0.584,0.2,0.107,0.129
0.849,0.77,0.809,0.786,0.577,0.197,0.114,0.145
0.85,0.765,0.813,0.784,0.576,0.167,0.056,0.048
0.845,0.769,0.8,0.782,0.567,0.192,0.087,0.087
0.847,0.77,0.805,0.784,0.573,0.182,0.088,0.106
0.844,0.765,0.8,0.78,0.564,0.195,0.099,0.109
0.85,0.778,0.807,0.791,0.585,0.188,0.08,0.084
0.847,0.768,0.805,0.783,0.572,0.179,0.068,0.061
0.853,0.781,0.81,0.794,0.591,0.198,0.097,0.11
0.848,0.773,0.804,0.786,0.576,0.195,0.094,0.102
0.85,0.778,0.806,0.79,0.583,0.193,0.086,0.089
0.852,0.768,0.816,0.787,0.582,0.173,0.072,0.079
0.849,0.774,0.805,0.788,0.579,0.189,0.074,0.064
0.856,0.774,0.823,0.793,0.595,0.161,0.041,0.027
0.85,0.768,0.811,0.785,0.578,0.173,0.074,0.085
0.849,0.769,0.809,0.786,0.577,0.175,0.061,0.052
0.856,0.761,0.832,0.786,0.588,0.164,0.069,0.079
0.854,0.772,0.819,0.791,0.59,0.173,0.064,0.063
0.862,0.781,0.831,0.801,0.61,0.178,0.081,0.102
0.856,0.762,0.832,0.787,0.59,0.164,0.066,0.075
0.848,0.772,0.805,0.786,0.576,0.187,0.081,0.083
0.847,0.773,0.803,0.786,0.575,0.184,0.068,0.057
0.848,0.768,0.807,0.784,0.574,0.181,0.085,0.1
0.856,0.771,0.825,0.792,0.593,0.179,0.093,0.125
0.859,0.772,0.833,0.795,0.602,0.17,0.083,0.116
0.855,0.755,0.835,0.782,0.584,0.17,0.107,0.162
0.854,0.755,0.833,0.782,0.582,0.171,0.108,0.164
0.848,0.777,0.804,0.789,0.581,0.182,0.073,0.076
0.854,0.753,0.834,0.78,0.581,0.169,0.106,0.16
0.844,0.769,0.799,0.782,0.567,0.184,0.074,0.07
0.846,0.777,0.799,0.787,0.575,0.19,0.085,0.093
0.857,0.768,0.83,0.791,0.595,0.167,0.084,0.118
0.851,0.775,0.811,0.79,0.585,0.173,0.074,0.091
0.848,0.738,0.83,0.767,0.561,0.161,0.104,0.158
0.847,0.774,0.804,0.786,0.576,0.182,0.075,0.078
0.842,0.762,0.797,0.777,0.558,0.184,0.083,0.086
0.847,0.772,0.804,0.786,0.575,0.189,0.083,0.086
0.853,0.752,0.832,0.779,0.578,0.17,0.107,0.16
0.843,0.77,0.796,0.782,0.566,0.182,0.07,0.063
0.853,0.753,0.832,0.781,0.58,0.161,0.085,0.122
0.841,0.737,0.812,0.762,0.543,0.19,0.161,0.251
0.854,0.778,0.816,0.794,0.593,0.176,0.078,0.097
0.859,0.768,0.836,0.792,0.599,0.167,0.088,0.127
0.847,0.734,0.833,0.764,0.558,0.154,0.097,0.149
0.846,0.77,0.802,0.784,0.571,0.19,0.087,0.094
0.842,0.758,0.799,0.775,0.556,0.17,0.062,0.056
0.844,0.768,0.8,0.781,0.567,0.183,0.073,0.068
0.857,0.771,0.827,0.793,0.596,0.179,0.095,0.129
0.856,0.764,0.83,0.788,0.59,0.172,0.099,0.145
0.846,0.777,0.8,0.787,0.577,0.193,0.089,0.098
0.838,0.759,0.791,0.773,0.549,0.181,0.074,0.067
0.856,0.767,0.827,0.789,0.591,0.173,0.089,0.121
0.858,0.77,0.832,0.793,0.599,0.173,0.094,0.136
0.856,0.781,0.818,0.797,0.598,0.19,0.104,0.142
0.856,0.767,0.829,0.79,0.593,0.176,0.101,0.146
0.835,0.755,0.787,0.768,0.541,0.184,0.099,0.122
0.857,0.767,0.831,0.79,0.594,0.175,0.099,0.143
0.85,0.776,0.808,0.79,0.583,0.184,0.073,0.072
0.853,0.753,0.831,0.78,0.579,0.171,0.112,0.172
0.853,0.773,0.816,0.79,0.587,0.168,0.061,0.064
0.839,0.766,0.791,0.777,0.556,0.189,0.078,0.071
0.84,0.767,0.791,0.778,0.558,0.19,0.089,0.097
0.846,0.776,0.8,0.787,0.576,0.192,0.086,0.091
0.849,0.777,0.806,0.79,0.583,0.192,0.091,0.105
0.853,0.77,0.817,0.789,0.586,0.171,0.071,0.082
0.85,0.778,0.808,0.791,0.585,0.191,0.091,0.105
0.854,0.764,0.824,0.787,0.585,0.169,0.089,0.125
0.846,0.776,0.8,0.787,0.576,0.187,0.074,0.069
0.846,0.767,0.804,0.782,0.57,0.18,0.072,0.071
0.842,0.77,0.795,0.781,0.564,0.191,0.096,0.112
0.857,0.772,0.826,0.793,0.596,0.179,0.093,0.126
0.859,0.777,0.829,0.797,0.604,0.171,0.074,0.094
0.846,0.775,0.8,0.786,0.574,0.184,0.075,0.077
0.851,0.779,0.808,0.792,0.586,0.185,0.082,0.095
0.84,0.761,0.794,0.775,0.554,0.183,0.078,0.077
0.84,0.758,0.795,0.773,0.552,0.17,0.058,0.045
0.846,0.771,0.803,0.784,0.573,0.182,0.067,0.057
0.84,0.761,0.793,0.775,0.553,0.181,0.071,0.062
0.854,0.761,0.827,0.786,0.585,0.168,0.09,0.129
0.838,0.759,0.79,0.772,0.548,0.187,0.097,0.116
0.835,0.748,0.788,0.764,0.535,0.175,0.088,0.106
0.84,0.758,0.795,0.773,0.552,0.177,0.074,0.073
0.846,0.77,0.802,0.784,0.571,0.183,0.078,0.082
0.837,0.757,0.789,0.77,0.545,0.179,0.076,0.076
0.841,0.76,0.797,0.775,0.555,0.174,0.074,0.079
0.845,0.77,0.801,0.783,0.569,0.179,0.067,0.059
0.847,0.771,0.805,0.785,0.575,0.176,0.068,0.068
0.839,0.766,0.791,0.777,0.557,0.185,0.077,0.074
0.837,0.76,0.788,0.772,0.547,0.194,0.09,0.089
0.845,0.763,0.804,0.78,0.566,0.177,0.086,0.106
0.836,0.755,0.788,0.769,0.542,0.178,0.078,0.079
0.848,0.774,0.805,0.787,0.577,0.187,0.078,0.079
0.839,0.755,0.794,0.771,0.548,0.175,0.076,0.08
0.84,0.761,0.795,0.775,0.555,0.183,0.086,0.095
0.848,0.776,0.804,0.788,0.579,0.189,0.082,0.086
0.847,0.774,0.803,0.787,0.577,0.186,0.081,0.086
0.84,0.758,0.796,0.773,0.552,0.172,0.065,0.059
0.838,0.755,0.792,0.77,0.545,0.175,0.071,0.067
0.847,0.776,0.802,0.787,0.577,0.191,0.086,0.093
0.843,0.775,0.795,0.784,0.571,0.191,0.081,0.081
0.846,0.772,0.801,0.784,0.572,0.187,0.076,0.071
0.847,0.776,0.802,0.787,0.577,0.19,0.086,0.094
0.845,0.774,0.799,0.785,0.573,0.187,0.078,0.079
0.842,0.765,0.797,0.778,0.56,0.186,0.079,0.076
0.847,0.776,0.802,0.787,0.577,0.185,0.073,0.071
0.845,0.769,0.801,0.782,0.569,0.184,0.078,0.079
0.846,0.777,0.8,0.787,0.577,0.194,0.089,0.095
0.848,0.777,0.803,0.789,0.58,0.18,0.07,0.071
0.845,0.772,0.799,0.784,0.57,0.183,0.072,0.069
0.842,0.768,0.796,0.78,0.563,0.192,0.084,0.083
0.85,0.779,0.807,0.791,0.584,0.182,0.078,0.087
0.845,0.773,0.799,0.785,0.572,0.19,0.08,0.078
0.846,0.774,0.8,0.785,0.573,0.184,0.066,0.054
0.851,0.785,0.807,0.795,0.591,0.195,0.088,0.098
0.846,0.774,0.8,0.785,0.574,0.187,0.075,0.071
0.845,0.774,0.798,0.785,0.572,0.184,0.067,0.055
0.845,0.777,0.798,0.786,0.575,0.197,0.089,0.091
0.856,0.771,0.825,0.792,0.594,0.179,0.098,0.136
0.846,0.777,0.8,0.787,0.576,0.189,0.07,0.059
0.847,0.771,0.804,0.785,0.574,0.186,0.076,0.075
0.851,0.778,0.81,0.791,0.586,0.176,0.067,0.071
0.847,0.781,0.799,0.789,0.58,0.194,0.082,0.081
0.853,0.754,0.831,0.781,0.58,0.17,0.103,0.153
0.847,0.772,0.803,0.785,0.574,0.185,0.081,0.086
0.843,0.768,0.797,0.78,0.564,0.19,0.087,0.091
0.845,0.772,0.8,0.784,0.571,0.187,0.074,0.067
0.845,0.776,0.798,0.786,0.574,0.188,0.076,0.074
0.846,0.774,0.8,0.785,0.573,0.189,0.084,0.088
0.853,0.754,0.83,0.78,0.578,0.17,0.102,0.148
0.851,0.772,0.813,0.789,0.583,0.173,0.068,0.072
0.848,0.777,0.803,0.789,0.58,0.184,0.075,0.078
0.845,0.769,0.801,0.783,0.569,0.178,0.063,0.051
0.854,0.752,0.835,0.78,0.581,0.165,0.098,0.145
0.844,0.769,0.799,0.782,0.567,0.19,0.084,0.085
0.841,0.763,0.795,0.777,0.558,0.192,0.095,0.104
0.845,0.772,0.8,0.784,0.571,0.187,0.077,0.075
0.854,0.753,0.834,0.78,0.581,0.17,0.107,0.161
0.854,0.755,0.833,0.782,0.582,0.17,0.105,0.158
0.846,0.776,0.8,0.786,0.575,0.189,0.075,0.068
0.846,0.772,0.802,0.785,0.573,0.186,0.079,0.081
0.843,0.767,0.797,0.78,0.563,0.189,0.09,0.099
0.857,0.772,0.827,0.793,0.597,0.178,0.095,0.131
0.842,0.765,0.797,0.778,0.56,0.179,0.065,0.054
0.849,0.737,0.836,0.768,0.565,0.161,0.115,0.185
0.857,0.772,0.828,0.793,0.597,0.179,0.097,0.134
0.854,0.754,0.833,0.781,0.582,0.168,0.104,0.156
