accuracy,recall,precision,f1,mcc,spd,aod,eod
0.733,0.623,0.725,0.627,0.333,0.1,0.079,0.085
0.727,0.618,0.708,0.622,0.314,0.111,0.078,0.137
0.74,0.631,0.739,0.637,0.354,0.041,0.016,0.028
0.723,0.613,0.703,0.615,0.303,0.116,0.106,0.073
0.72,0.611,0.695,0.613,0.294,0.111,0.092,0.099
0.73,0.626,0.71,0.632,0.325,0.119,0.099,0.099
0.733,0.631,0.715,0.638,0.336,0.075,0.049,0.067
0.727,0.621,0.705,0.625,0.315,0.182,0.175,0.13
0.727,0.653,0.688,0.661,0.338,0.18,0.168,0.12
0.74,0.636,0.731,0.644,0.355,0.143,0.125,0.111
0.727,0.616,0.712,0.618,0.313,0.06,0.04,0.047
0.713,0.601,0.684,0.599,0.272,0.08,0.063,0.067
0.75,0.644,0.757,0.652,0.384,0.016,0.01,0.002
0.75,0.651,0.744,0.662,0.384,0.11,0.077,0.111
0.76,0.664,0.76,0.677,0.413,0.126,0.105,0.085
0.727,0.621,0.705,0.625,0.315,0.143,0.121,0.13
0.723,0.616,0.7,0.619,0.305,0.187,0.171,0.162
0.683,0.61,0.629,0.614,0.238,0.099,0.066,0.129
0.73,0.621,0.717,0.625,0.324,0.076,0.06,0.047
0.737,0.626,0.735,0.63,0.344,0.005,0.02,0.004
0.743,0.636,0.744,0.643,0.364,0.056,0.025,0.06
0.72,0.606,0.701,0.605,0.291,0.029,0.011,0.016
0.703,0.619,0.655,0.625,0.272,0.142,0.115,0.146
0.737,0.631,0.726,0.637,0.344,0.127,0.116,0.079
0.74,0.641,0.724,0.65,0.356,0.066,0.035,0.067
0.733,0.623,0.725,0.627,0.333,0.12,0.106,0.085
0.747,0.639,0.753,0.646,0.374,0.041,0.024,0.002
0.727,0.611,0.72,0.61,0.312,0.117,0.102,0.091
0.73,0.618,0.72,0.621,0.323,0.015,0.054,0.022
0.733,0.618,0.735,0.62,0.333,0.038,0.013,0.034
0.733,0.668,0.695,0.676,0.362,0.075,0.06,0.013
0.753,0.664,0.738,0.677,0.396,0.061,0.036,0.029
0.713,0.603,0.681,0.603,0.274,0.052,0.027,0.061
0.74,0.636,0.731,0.644,0.355,0.043,0.001,0.079
0.747,0.644,0.744,0.653,0.374,0.024,0.007,0.022
0.75,0.651,0.744,0.662,0.384,0.11,0.088,0.079
0.74,0.626,0.75,0.629,0.354,0.018,0.017,0.04
0.723,0.613,0.703,0.615,0.303,0.096,0.08,0.073
0.713,0.601,0.684,0.599,0.272,0.08,0.052,0.099
0.737,0.626,0.735,0.63,0.344,0.065,0.028,0.091
0.737,0.639,0.717,0.647,0.347,0.122,0.102,0.092
0.733,0.629,0.718,0.635,0.335,0.103,0.086,0.073
0.75,0.641,0.763,0.649,0.385,0.164,0.155,0.104
0.733,0.629,0.718,0.635,0.335,0.103,0.086,0.073
0.737,0.628,0.73,0.634,0.344,0.076,0.034,0.117
0.757,0.677,0.735,0.69,0.409,0.21,0.153,0.111
0.697,0.58,0.65,0.574,0.219,0.178,0.151,0.16
0.717,0.595,0.703,0.589,0.278,0.1,0.07,0.047
0.737,0.631,0.726,0.637,0.344,0.162,0.128,0.035
0.733,0.636,0.71,0.644,0.338,0.112,0.059,0.086
0.747,0.675,0.716,0.686,0.389,0.16,0.099,0.082
0.723,0.616,0.7,0.619,0.305,0.1,0.052,0.097
0.73,0.639,0.699,0.648,0.333,0.152,0.103,0.105
0.74,0.639,0.727,0.647,0.355,0.087,0.032,0.066
0.72,0.606,0.701,0.605,0.291,0.1,0.055,0.109
0.74,0.66,0.709,0.67,0.366,0.144,0.085,0.093
0.737,0.665,0.701,0.675,0.365,0.094,0.033,0.033
0.727,0.616,0.712,0.618,0.313,0.133,0.095,0.072
0.733,0.65,0.701,0.659,0.347,0.214,0.167,0.131
0.75,0.667,0.727,0.679,0.39,0.218,0.167,0.111
0.747,0.662,0.723,0.674,0.38,0.119,0.058,0.074
0.723,0.616,0.7,0.619,0.305,0.141,0.107,0.06
0.723,0.642,0.684,0.65,0.324,0.16,0.115,0.076
0.733,0.658,0.698,0.667,0.353,0.168,0.112,0.113
0.703,0.604,0.657,0.606,0.255,0.066,0.036,0.018
0.713,0.627,0.67,0.634,0.294,0.234,0.193,0.187
0.75,0.673,0.724,0.684,0.393,0.16,0.098,0.099
0.75,0.651,0.744,0.662,0.384,0.145,0.088,0.109
0.737,0.636,0.719,0.644,0.346,0.083,0.029,0.06
0.73,0.647,0.695,0.656,0.339,0.024,0.027,0.061
0.733,0.663,0.696,0.672,0.357,0.131,0.079,0.027
0.72,0.653,0.678,0.66,0.33,0.176,0.123,0.115
0.737,0.626,0.735,0.63,0.344,0.096,0.051,0.047
0.73,0.652,0.693,0.661,0.343,0.152,0.101,0.076
0.74,0.67,0.705,0.68,0.374,0.151,0.093,0.07
0.74,0.641,0.724,0.65,0.356,0.099,0.052,0.023
0.713,0.645,0.669,0.652,0.313,0.135,0.084,0.072
0.733,0.658,0.698,0.667,0.353,0.168,0.124,0.039
0.743,0.644,0.732,0.653,0.365,0.062,0.006,0.029
0.743,0.657,0.719,0.668,0.371,0.144,0.09,0.074
0.717,0.619,0.68,0.624,0.292,0.016,0.059,0.081
0.72,0.616,0.69,0.62,0.297,0.128,0.076,0.16
0.733,0.668,0.695,0.676,0.362,0.135,0.065,0.126
0.747,0.665,0.721,0.676,0.382,0.09,0.029,0.031
0.723,0.6,0.725,0.595,0.3,0.088,0.057,0.021
0.727,0.618,0.708,0.622,0.314,0.083,0.036,0.066
0.743,0.641,0.735,0.65,0.365,0.091,0.04,0.035
0.713,0.601,0.684,0.599,0.272,0.112,0.073,0.097
0.713,0.603,0.681,0.603,0.274,0.104,0.069,0.054
0.757,0.685,0.73,0.697,0.413,0.185,0.122,0.093
0.747,0.667,0.719,0.679,0.383,0.144,0.093,0.025
0.717,0.608,0.687,0.61,0.285,0.12,0.081,0.092
0.727,0.626,0.7,0.632,0.318,0.099,0.054,0.049
0.737,0.634,0.723,0.641,0.345,0.153,0.106,0.103
0.74,0.636,0.731,0.644,0.355,0.116,0.066,0.072
0.71,0.596,0.678,0.593,0.261,0.117,0.087,0.06
0.743,0.665,0.714,0.676,0.376,0.181,0.127,0.093
0.757,0.662,0.752,0.674,0.404,0.095,0.03,0.072
0.737,0.631,0.726,0.637,0.344,0.141,0.098,0.072
0.727,0.616,0.712,0.618,0.313,0.174,0.138,0.109
0.737,0.634,0.723,0.641,0.345,0.133,0.088,0.066
0.723,0.619,0.697,0.623,0.306,0.153,0.121,0.054
0.73,0.647,0.695,0.656,0.339,0.21,0.158,0.162
0.747,0.657,0.727,0.668,0.378,0.074,0.017,0.011
0.727,0.618,0.708,0.622,0.314,0.125,0.079,0.103
0.717,0.619,0.68,0.624,0.292,0.149,0.107,0.105
0.717,0.614,0.683,0.617,0.288,0.165,0.128,0.117
0.733,0.629,0.718,0.635,0.335,0.157,0.114,0.103
0.723,0.621,0.695,0.626,0.307,0.083,0.031,0.086
0.733,0.634,0.712,0.641,0.337,0.244,0.21,0.129
0.737,0.628,0.73,0.634,0.344,0.088,0.047,0.004
0.743,0.639,0.739,0.647,0.364,0.141,0.094,0.078
0.737,0.628,0.73,0.634,0.344,0.108,0.059,0.078
0.71,0.603,0.672,0.604,0.267,0.112,0.075,0.08
0.72,0.611,0.695,0.613,0.294,0.083,0.046,0.023
0.723,0.621,0.695,0.626,0.307,0.062,0.013,0.049
0.727,0.626,0.7,0.632,0.318,0.161,0.116,0.123
0.757,0.691,0.728,0.701,0.417,0.127,0.053,0.082
0.72,0.608,0.698,0.609,0.293,0.092,0.051,0.066
0.73,0.629,0.707,0.635,0.327,0.207,0.174,0.092
0.723,0.616,0.7,0.619,0.305,0.182,0.144,0.135
0.75,0.657,0.737,0.668,0.386,0.107,0.049,0.06
0.717,0.603,0.692,0.602,0.282,0.075,0.039,0.029
0.743,0.641,0.735,0.65,0.365,0.133,0.089,0.035
0.7,0.625,0.651,0.631,0.274,0.254,0.212,0.22
0.713,0.603,0.681,0.603,0.274,0.083,0.045,0.054
0.733,0.634,0.712,0.641,0.337,0.12,0.069,0.092
0.713,0.609,0.678,0.611,0.278,0.067,0.03,0.006
0.727,0.621,0.705,0.625,0.315,0.137,0.088,0.135
0.73,0.616,0.725,0.617,0.323,0.166,0.127,0.121
0.733,0.623,0.725,0.627,0.333,0.154,0.121,0.041
0.743,0.647,0.728,0.656,0.366,0.054,0.01,0.06
0.74,0.641,0.724,0.65,0.356,0.099,0.052,0.023
0.723,0.613,0.703,0.615,0.303,0.17,0.141,0.066
0.723,0.619,0.697,0.623,0.306,0.071,0.029,0.017
0.723,0.624,0.693,0.629,0.309,0.095,0.052,0.043
0.73,0.634,0.703,0.642,0.33,0.107,0.062,0.043
0.737,0.639,0.717,0.647,0.347,0.116,0.067,0.054
0.713,0.606,0.679,0.607,0.276,0.137,0.102,0.086
0.73,0.624,0.713,0.628,0.324,0.162,0.127,0.066
0.717,0.614,0.683,0.617,0.288,0.083,0.036,0.08
0.727,0.621,0.705,0.625,0.315,0.137,0.093,0.097
0.727,0.626,0.7,0.632,0.318,0.099,0.049,0.086
0.723,0.624,0.693,0.629,0.309,0.095,0.052,0.043
0.73,0.618,0.72,0.621,0.323,0.096,0.049,0.078
0.747,0.649,0.736,0.659,0.375,0.12,0.066,0.066
0.727,0.626,0.7,0.632,0.318,0.12,0.073,0.086
0.743,0.657,0.719,0.668,0.371,0.206,0.152,0.148
0.747,0.644,0.744,0.653,0.374,0.137,0.098,0.004
0.747,0.662,0.723,0.674,0.38,0.099,0.04,0.037
0.75,0.662,0.732,0.674,0.387,0.194,0.145,0.086
0.737,0.642,0.714,0.65,0.348,0.087,0.033,0.049
0.73,0.642,0.698,0.651,0.335,0.021,0.037,0.012
0.713,0.601,0.684,0.599,0.272,0.133,0.098,0.097
0.72,0.6,0.709,0.596,0.29,0.096,0.068,0.01
0.753,0.659,0.744,0.671,0.395,0.112,0.052,0.066
0.73,0.624,0.713,0.628,0.324,0.162,0.121,0.103
0.747,0.646,0.74,0.656,0.375,0.149,0.107,0.035
0.71,0.609,0.669,0.612,0.271,0.136,0.097,0.105
0.733,0.634,0.712,0.641,0.337,0.12,0.069,0.092
0.753,0.657,0.748,0.668,0.394,0.161,0.111,0.072
0.73,0.634,0.703,0.642,0.33,0.066,0.013,0.043
0.733,0.634,0.712,0.641,0.337,0.141,0.093,0.092
0.737,0.649,0.708,0.659,0.353,0.041,0.022,0.031
0.723,0.619,0.697,0.623,0.306,0.174,0.139,0.092
0.727,0.618,0.708,0.622,0.314,0.186,0.153,0.103
0.74,0.639,0.727,0.647,0.355,0.087,0.038,0.029
