accuracy,recall,precision,f1,mcc,spd,aod,eod
0.882,0.738,0.734,0.736,0.472,0.222,0.104,0.053
0.865,0.632,0.681,0.65,0.309,0.162,0.091,0.048
0.881,0.732,0.732,0.732,0.464,0.202,0.089,0.048
0.88,0.736,0.729,0.732,0.465,0.183,0.055,0.022
0.878,0.731,0.725,0.728,0.456,0.219,0.102,0.046
0.884,0.681,0.737,0.703,0.414,0.244,0.16,0.134
0.883,0.733,0.736,0.735,0.469,0.205,0.093,0.053
0.882,0.733,0.735,0.734,0.468,0.209,0.094,0.046
0.883,0.709,0.737,0.722,0.445,0.192,0.096,0.071
0.88,0.734,0.731,0.733,0.465,0.214,0.099,0.054
0.881,0.734,0.732,0.733,0.466,0.209,0.083,0.008
0.871,0.636,0.698,0.658,0.328,0.164,0.096,0.062
0.881,0.737,0.733,0.735,0.47,0.203,0.084,0.033
0.879,0.735,0.729,0.732,0.464,0.224,0.111,0.071
0.853,0.663,0.666,0.664,0.329,0.23,0.153,0.122
0.88,0.739,0.729,0.734,0.468,0.202,0.067,0.023
0.882,0.735,0.733,0.734,0.468,0.209,0.086,0.02
0.866,0.655,0.689,0.669,0.342,0.194,0.126,0.115
0.879,0.734,0.729,0.731,0.463,0.198,0.087,0.052
0.868,0.64,0.689,0.659,0.326,0.213,0.151,0.136
0.875,0.673,0.712,0.69,0.384,0.225,0.137,0.092
0.874,0.666,0.708,0.683,0.372,0.168,0.099,0.097
0.867,0.654,0.691,0.669,0.343,0.212,0.147,0.14
0.873,0.654,0.707,0.674,0.357,0.184,0.119,0.115
0.869,0.652,0.695,0.669,0.345,0.191,0.139,0.162
0.881,0.739,0.733,0.736,0.472,0.218,0.107,0.076
0.873,0.673,0.709,0.688,0.38,0.215,0.136,0.112
0.869,0.664,0.698,0.678,0.36,0.234,0.162,0.145
0.881,0.733,0.732,0.733,0.465,0.199,0.072,0.005
0.882,0.737,0.735,0.736,0.472,0.204,0.088,0.042
0.868,0.651,0.692,0.667,0.341,0.2,0.128,0.1
0.884,0.737,0.738,0.737,0.475,0.222,0.116,0.095
0.879,0.726,0.727,0.727,0.453,0.21,0.097,0.045
0.868,0.63,0.689,0.651,0.314,0.172,0.108,0.08
0.878,0.723,0.724,0.724,0.448,0.179,0.068,0.023
0.879,0.734,0.729,0.731,0.462,0.202,0.079,0.012
0.878,0.728,0.726,0.727,0.454,0.19,0.07,0.005
0.881,0.734,0.732,0.733,0.466,0.224,0.107,0.057
0.879,0.686,0.724,0.702,0.408,0.22,0.143,0.142
0.887,0.637,0.761,0.671,0.378,0.175,0.123,0.134
0.879,0.731,0.728,0.729,0.459,0.196,0.081,0.034
0.881,0.729,0.731,0.73,0.46,0.232,0.119,0.069
0.886,0.623,0.757,0.656,0.356,0.145,0.098,0.106
0.873,0.655,0.707,0.675,0.358,0.214,0.154,0.16
0.885,0.633,0.752,0.666,0.365,0.18,0.125,0.121
0.883,0.707,0.736,0.72,0.442,0.221,0.131,0.119
0.877,0.722,0.724,0.723,0.446,0.196,0.074,0.002
